#;D_factor;Vi_ino;Inoc_type;TS_inoc ;VS_inoc ;T_inoc ;Incuba;Feed;TS_feed;VS_feed;CODt ;T_strategy;T_i ;T_f;OLR_strategy;OLR_level;Mean_OLR;Design_OLR;HRT_i;HRT_f;VFA_high;VFA_SS;Biogas_SS;Methane_SS;Period_t;R_scale;Working volume;Nbr_stages
38;0;10;DG;66,13;35,63;;NO;M;51;34;59;T_constant;35;35;Constant;1;2;2;16,2;16,2;;;0,94;0,26;30;lab;3,73;1
39;0;10;DG;66,13;35,63;;NO;M;51;34;59;T_constant;35;35;Constant;1;2;2;16,2;16,2;;;0,88;0,27;30;lab;3,73;1
40;0;10;DG;66,13;35,63;;NO;M;51;34;59;T_constant;35;35;Constant;1;2;2;16,2;16,2;;;0,85;0,28;30;lab;3,73;1
41;0;10;DG;66,13;35,63;;NO;M;100;53;61;T_constant;35;35;Constant;1;3,2;3,2;16,2;16,2;;;0,93;0,19;30;lab;3,73;1
42;0;10;DG;66,13;35,63;;NO;M;100;53;61;T_constant;35;35;Constant;1;3,2;3,2;16,2;16,2;;;1,07;0,21;30;lab;3,73;1
43;0;10;DG;66,13;35,63;;NO;M;100;53;61;T_constant;35;35;Constant;1;3,2;3,2;16,2;16,2;;;1,14;0,23;30;lab;3,73;1
44;0;10;DG;66,13;35,63;;NO;M;100;53;61;T_constant;35;35;Constant;1;3,2;3,2;16,2;16,2;;;1,2;0,24;30;lab;3,73;1
45;0;10;DG;66,13;35,63;;NO;M;150;75;;T_constant;35;35;Constant;1;4,7;4,7;16,2;16,2;;;1,13;0,15;20;lab;3,73;1
46;0;10;DG;66,13;35,63;;NO;M;150;75;;T_constant;35;35;Constant;1;4,7;4,7;16,2;16,2;;;1,64;0,23;40;lab;3,73;1
47;0;10;DG;66,13;35,63;;NO;M;150;75;;T_constant;35;35;Constant;1;4,7;4,7;16,2;16,2;;;1,25;0,17;40;lab;3,73;1
48;0;10;DG;38,61;24,07;mesophilic;NO;OSW;60,52;52,11;83,95;T_constant;37;37;Step-wise;60;1,15;2,08;230;25;5500;1000;2,25;0,235;61;lab;3;1
49;0;50;DG;38,61;24,07;mesophilic;NO;OSW;60,52;52,11;83,95;T_constant;37;37;Step-wise;13;1,64;3,13;333;16;5000;1000;2;0,144;61;lab;3;1
50;0;100;DG;38,61;24,07;mesophilic;NO;OSW;60,52;52,11;83,95;T_constant;37;37;Constant;1;2,61;2,61;20;20;3500;500;2;0,149;61;lab;3;1
51;;100;Sewage sludge;15,2;11,9;;YES;SS ;38,7;29,6;48,5;T_constant;;;Step-wise;3;0,63;1;100;30;1500;200;0,4;0,02;63;lab;5;1
52;;;Sewage sludge;;;;NO;SS ;20,8;14,7;23,4;T_one_step;37;55;Step-wise;4;2;2,9;13;5;8500;3500;0,25;0,043;250;pilot/full;100;1
53;3,5;28;Mixture;;48;mesophilic;YES;OSW;108;64;93,8;T_one_step;37;55;Constant;1;6,8;6,8;9;9;;;3,8;0,33;20;lab;3;1
