#;Ino_DG;Ino_SS;Ino_Mix;Ino_CM;Incu;No_incu;F_OSW;F_SS;F_M;TS_feed;VS_feed;T_constant;T_one_step;T_step_wise ;T_i ;T_f;OLR_Cons;OLR_Stepw;OLR_Dyna;Mean_OLR;Design_OLR;HRT_i;HRT_f;Period_t;Lab;Pilo_Full;Working volume
50;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60,52;52,11;0,577350269;0;0;37;37;0,577350269;0;0;2,61;2,61;20;20;61;0,707106781;0;3
52;0;0,5;0;0;0;0,707106781;0;0,577350269;0;20,8;14,7;0;0,577350269;0;37;55;0;0,577350269;0;2;2,9;13;5;250;0;0,707106781;100
53;0;0;0,5;0;0,707106781;0;0,577350269;0;0;108;64;0;0,577350269;0;37;55;0,577350269;0;0;6,8;6,8;9;9;20;0,707106781;0;3
54;0;0;0,5;0;0,707106781;0;0,577350269;0;0;108;64;0;0,577350269;0;35;55;0,577350269;0;0;6,8;6,8;9;9;20;0,707106781;0;3
55;0,5;0;0;0;0;0,707106781;0,577350269;0;0;101,5;81,2;0,577350269;0;0;37;37;0;0;0,577350269;4,36;7,17;15;38;31;0,707106781;0;1,64
56;0,5;0;0;0;0;0,707106781;0,577350269;0;0;101,5;81,2;0,577350269;0;0;37;37;0;0;0,577350269;2,65;2,87;28;39;31;0,707106781;0;1,64
57;0,5;0;0;0;0;0,707106781;0,577350269;0;0;101,5;81,2;0,577350269;0;0;37;37;0;0;0,577350269;4,02;7,23;21;39;31;0,707106781;0;1,64
58;0,5;0;0;0;0,707106781;0;0,577350269;0;0;105,7;92,1;0,577350269;0;0;55;55;0;0,577350269;0;0,75;1;20;20;38;0;0,707106781;55
59;0,5;0;0;0;0,707106781;0;0,577350269;0;0;24;16;0;0;0,577350269;35;55;0,577350269;0;0;0,5336;0,53;30;30;26;0,707106781;0;1,5
60;0,5;0;0;0;0,707106781;0;0,577350269;0;0;24;16;0;0,577350269;0;35;55;0,577350269;0;0;0,5336;0,53;30;30;26;0,707106781;0;1,5
61;0,5;0;0;0;0,707106781;0;0,577350269;0;0;24;16;0;0;0,577350269;35;55;0,577350269;0;0;0,5336;0,53;30;30;26;0,707106781;0;1,5
62;0,5;0;0;0;0,707106781;0;0,577350269;0;0;24;16;0;0,577350269;0;35;55;0,577350269;0;0;0,5336;0,53;30;30;26;0,707106781;0;1,5
66;0,5;0;0;0;0,707106781;0;0;0;0,577350269;136;122;0,577350269;0;0;37;37;0;0,577350269;0;1,6;2,6;40;40;45;0,707106781;0;8
67;0,5;0;0;0;0,707106781;0;0;0;0,577350269;136;122;0,577350269;0;0;37;37;0;0,577350269;0;1,6;2,6;40;40;45;0,707106781;0;8
68;0,5;0;0;0;0,707106781;0;0;0;0,577350269;136;122;0,577350269;0;0;37;37;0;0,577350269;0;1,6;2,6;40;40;80;0,707106781;0;8
69;0,5;0;0;0;0,707106781;0;0;0,577350269;0;52,25;40,51;0;0,577350269;0;25;55;0;0;0,577350269;2,05;2,5;28;16;286;0;0,707106781;15000
70;0,5;0;0;0;0;0,707106781;0;0;0,577350269;215;149,8;0,577350269;0;0;38;38;0,577350269;0;0;4;4;37;37;33;0,707106781;0;10
71;0,5;0;0;0;0;0,707106781;0;0;0,577350269;215;149,8;0,577350269;0;0;38;38;0,577350269;0;0;4;4;37;37;33;0,707106781;0;10
72;0;0,5;0;0;0,707106781;0;0,577350269;0;0;206,52;195,78;0,577350269;0;0;35;35;0;0;0,577350269;1,05;1,45;293;187;1000;0,707106781;0;10
73;0,5;0;0;0;0;0,707106781;0,577350269;0;0;206,52;195,78;0,577350269;0;0;35;35;0;0;0,577350269;0,28;0,93;648;1120;1000;0,707106781;0;8
74;0,5;0;0;0;0;0,707106781;0,577350269;0;0;206,52;195,78;0,577350269;0;0;35;35;0;0;0,577350269;0,29;0,8;587;1120;1000;0,707106781;0;8
75;0,5;0;0;0;0,707106781;0;0,577350269;0;0;206,52;195,78;0,577350269;0;0;35;35;0;0,577350269;0;1,51;2,03;265;148;1000;0,707106781;0;9,5
76;0,5;0;0;0;0;0,707106781;0,577350269;0;0;206,52;195,78;0,577350269;0;0;35;35;0;0,577350269;0;1,17;2,03;456;148;1000;0,707106781;0;9,5
77;0,5;0;0;0;0,707106781;0;0;0;0,577350269;39,3;26,8;0;0,577350269;0;37;50;0,577350269;0;0;1;1;90;30;116;0,707106781;0;5,5
78;0,5;0;0;0;0,707106781;0;0;0;0,577350269;39,3;26,8;0;0,577350269;0;37;50;0,577350269;0;0;1;1;90;30;116;0,707106781;0;5,5
79;0;0;0;0,5;0,707106781;0;0;0;0,577350269;53,7;41;0,577350269;0;0;38;38;0;0,577350269;0;0,88;1,3;100;40;60;0;0,707106781;210
80;0,5;0;0;0;0,707106781;0;0;0;0,577350269;200;158,96;0,577350269;0;0;30;30;0,577350269;0;0;4,96;4,96;32;32;84;0,707106781;0;5
81;0,5;0;0;0;0,707106781;0;0;0,577350269;0;25,2;15,9;0;0,577350269;0;37;55;0,577350269;0;0;0,8;0,8;20;20;150;0,707106781;0;3
82;0,5;0;0;0;0,707106781;0;0;0,577350269;0;25,2;15,9;0;0,577350269;0;37;55;0,577350269;0;0;0,39;0,39;40;40;150;0,707106781;0;3
83;0,5;0;0;0;0,707106781;0;0;0,577350269;0;25,2;15,9;0;0,577350269;0;37;55;0,577350269;0;0;0,8;0,8;20;20;150;0,707106781;0;3
84;0,5;0;0;0;0,707106781;0;0;0,577350269;0;25,2;15,9;0;0,577350269;0;37;55;0,577350269;0;0;0,39;0,39;40;40;150;0,707106781;0;3
85;0,5;0;0;0;0;0,707106781;0;0,577350269;0;46,9;33;0;0;0,577350269;36;53,3;0,577350269;0;0;1,1;1,1;30;30;60;0,707106781;0;3
86;0,5;0;0;0;0,707106781;0;0;0,577350269;0;46,9;33;0;0;0,577350269;36;60;0,577350269;0;0;1,1;1,1;30;30;1000;0,707106781;0;3
87;0,5;0;0;0;0;0,707106781;0;0,577350269;0;46,9;33;0;0;0,577350269;53,3;60;0,577350269;0;0;1,1;1,1;30;30;40;0,707106781;0;3
88;0,5;0;0;0;0;0,707106781;0;0,577350269;0;46,9;33;0;0;0,577350269;53,3;60;0,577350269;0;0;1,1;1,1;30;30;135;0,707106781;0;3
89;0,5;0;0;0;0,707106781;0;0;0,577350269;0;53,19;24,83;0;0,577350269;0;35;55;0,577350269;0;0;1,24;1,24;20;20;40;0,707106781;0;6
90;0,5;0;0;0;0,707106781;0;0,577350269;0;0;68,1;64;0,577350269;0;0;37;37;0,577350269;0;0;1,6;1,6;20;20;50;0,707106781;0;10
91;0,5;0;0;0;0;0,707106781;0;0;0,577350269;58,3;43,9;0,577350269;0;0;30;30;0,577350269;0;0;2,26;2,64;20;15;180;0;0,707106781;6000
93;0;0,5;0;0;0;0,707106781;0;0;0,577350269;62;29;0,577350269;0;0;35;35;0,577350269;0;0;1;1;60;60;52;0,707106781;0;2,5
94;0;0,5;0;0;0,707106781;0;0;0;0,577350269;62;29;0,577350269;0;0;35;35;0,577350269;0;0;1;1;60;60;76;0,707106781;0;2,5
